"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Angola","AGO","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","124000000","135000000","148000000","163000000","204000000","200000000","221000000","238000000","271000000","326000000","423000000","455000000","479000000","792000000","1202000000","1012000000","619000000","786000000","968000000","1091000000","1883000000","1856000000","1629000000","1822000000","2033000000","2245000000","1332000000","2168000000","2516000000","3015000000","3910000000","3410000000","3755000000","3762000000","3018000000","3642000000","5095000000","5007000000","3543000000","5157000000","7921000000","6534000000","8328000000","9508000000","13475000000","24109000000","31862200000","44396200000","63914000000","40827900000","50594900000","67310300000","71093300000","68246518000","59169885000","33181130225.644","27306200000","33129142692.0884",
"Angola","AGO","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","0.48661800486618","0.224382946896036","0.947867298578199","0.428134556574924","0.0489955903968643","0.202020202020202","0.363141171130277","3.9323467230444","1.75307720999627","1.55381617865216","0.0302305314196777","0.06151900471564","0.396122346648838","0.0574766384270602","0.191730142874342","","","","","","","2.9196318608407","0.596241865028519","0.435403349637915","","","5.84389404491639E-05","","","","3.04420090495699E-05","","0.00378676525421718","0.000108376961707541","0.000336988618127272","0.00145996875236562","0.00798471767160941","0.00341421376149567","0.00229803080133611","0.000723627427976175","0.708755592931523","0.64047568443408","0.668708272108796","0.722353348571927","0.80665649364836","0.877212406686822","0.836105683662659","0.954748394951515","0.085016369893722","0.866584451290482","0.708279083979193","0.577880581811385","0.929503952881825","1.1811340506485","1.47063085759659","2.01360155889521","1.94989231031577","",
"Angola","AGO","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","3.87910351086917","","","","","","","12.1507729058846","12.1220461768477","10.1297315544077","7.76427427112911","6.70517230949005","4.14612510455178","","","","0.0746907067539707","0.0579575801792828","0.103770390935114","0.22316565461298","","","","","","","","","6.22259790016432","4.85604896004024","","","","","","","","","","","","","","","","2.67542615278011","","2.00203146976006","2.03762924921367","1.82030992034358","1.56671569764974","1.7073114724165","2.18366736282803","3.31655533347057","","",
"Angola","AGO","Manufactures exports (% of merchandise exports)","TX.VAL.MANF.ZS.UN","","","13.9209710564929","","","","","","","21.5989679159621","21.5663093317823","14.6805913024061","16.3378871278065","13.1121259423443","9.43626798621171","","","","8.98406394799207","13.1282365576062","12.9408692048295","11.8883899979603","","","","","","","","","0.0610690448708091","0.00182478048318101","","","","","","","","","","","","","","","","1.50830017416018","","1.30457458020372","1.37299899135678","1.58421748395462","1.19224008435091","1.53769194578389","1.52831758522687","1.51649754853424","","",
"Angola","AGO","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","15","15","15","15","15","4.59752321981424","12.0204429301533","12.0680232069284","9.81502242152466","10.0765645805593","9.24746590245715","9.82100560934685","9.50627977479428","7.32988590659115","10.282389854883","13.2108650104759","13.6740740740741","","-0.156651020006387","","","","","","","","","","","","","","",
"Angola","AGO","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","3.04073581976792","","","","","","","7.17644765363341","13.3846841985665","19.9471377397395","26.8408664215116","31.3947274619275","51.6415136754715","","","","65.7394994788424","71.9070420055715","77.9692502787831","82.123986964698","","","","","","","","","93.4776803422701","94.8315360921689","","","","","","","","","","","","","","","","95.7182156018107","","96.6117753424177","96.5345473732002","96.5567682360772","97.1779242939654","96.6795681306628","96.194403359153","94.994795019191","","",
"Angola","AGO","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","65.4948250283107","","","","","","","49.6879365782789","44.6914173841939","45.4215406441069","42.0728397647753","40.5979116169701","27.629100995664","","","","23.2765767097271","14.3422470079383","8.69300388031106","5.23992346722768","","","","","","","","","0.234865204394267","0.305922032815841","","","","","","","","","","","","","","","","0.0973082531799098","","0.0811537682127195","0.054445159884038","0.0387043596246223","0.0631199240339422","0.0734540911945984","0.0851709530224955","0.143498430350141","","",
"Angola","AGO","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","13.6643564934827","","","","","","","9.38106566313735","8.22580212780947","9.81314328021136","6.97465224441031","8.18450948274822","7.14292121989031","","","","0.416865098757942","0.486946665068001","0.1700634386693","0.164998932514936","","","","","","","","","0.00186685103667046","","","","","","","","","","","","","","","","","0.000749818069113222","","0.000464839405761505","0.000379226345312959","","","0.00197435994220663","0.00844073976962238","0.0286536684540127","","",
"Angola","AGO","Export unit value index (2000 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","63","58","62","64","74","82","96","48","58","48","63","90","69","43","63","100","88.99222232","92.6721848","109.1840368","135.3490198","240.6272955","298.0541793","362.4574999","578.3055543","217.9985402","284.1138697","412.2734899","403.9502634","386.3579904","347.7855226","183.2889816","154.5213879","",
